courseId,id,subType,optionCount,subDescript,option0,option1,option2,option3,answer
12,25149,单选题,4,孔子说“游必有方”，我们的领导干部特别是（）要是连这一条都做不到，那就成问题了。,一把手,高级干部,高级领导干部,主要领导干部,B
12,22052,单选题,4,中国自（）恢复在国际刑警组织的合法席位,1984,1985,1986,1987,A
12,25276,单选题,4,党员刘某因违法犯罪被法院判处剥夺政治权利，应给予其( )处分。,党内严重警告,撤销党内职务,留党察看,开除党籍,D
12,22583,单选题,3,我国坚持（   ）原则和“九二共识”，推动两岸关系和平发展，加强两岸经济文化交流合作，实现两岸领导人历史性会晤。,一国两制,一个中国,对外开放,,B
12,22385,单选题,4,我们要激发（）创造力和发展活力，努力实现更高质量、更有效率、更加公平、更可持续的发展。,全社会,各族人民,全体人民,广大群众,A
12,23344,单选题,4,2016年11月20日，习近平总书记在亚太经合组织第二十四次领导人非正式会议第一阶段会议上的发言上提到，亚太经合组织是亚太和全球经济合作的（），对促进亚太区域和全球经济发展具有重要作用。,先行者,先行者、引领者、开拓者,先行者、引领者,先行者、开拓者,B
12,23385,单选题,4,2017年4月3日，在对芬兰共和国进行国事访问前夕，习近平总书记在芬兰《赫尔辛基时报》发表题为《穿越历史的友谊》的署名文章中提到，中欧双方要坚持（）的共同理念，为促进世界和平和繁荣作出新贡献。,开放包容,和平共处,互惠互利,合作共赢,A
12,22706,单选题,4,中国与越南长期保持友好交往关系，请问以下哪个是代表越南全国各阶层人民的最高国家权力机构？,越南共产党,越南国会,越南政府,越南人民法院,B
12,21451,单选题,4,中国共产党党要坚定（）自信、（）自信、（）自信、（）自信。,道路、理论、制度、文化,理论、制度、文化、道路,制度、理论、道路、文化,文化、理论、制度、道路,A
12,22805,单选题,4,中国开展对发展中国家的合作，将坚持( )，不搞我赢你输、我多你少，在一些具体项目上将照顾对方利益。,正确义利观,正确权利观,正确权益观,正确价值观,A
12,10737,单选题,4,习近平总书记在19大报告中指出，要坚持中国特色社会主义文化发展道路，激发全民族文化（）活力，建设社会主义文化强国,创新创造,传统与现代,不断变化,历久弥新,A
12,23277,单选题,4,2017年7月3日，习近平总书记在接受俄罗斯主流媒体采访中提到中俄两国正在积极推进“（）”建设同欧亚经济联盟对接合作。,丝绸之路,一带一路,经贸,国际贸易,B
12,22062,单选题,4,全面深化改革的重点是（）改革,经济体制,政治体制,文化体制,军事体制,A
12,23568,单选题,4,2014年7月4日，习近平在韩国国立首尔大学的演讲中提出：为把中韩两国美好梦想融入更为宏伟的亚洲梦，同亚洲各国人民走出一条共建、共享、共赢之路，应该重点在（）方面作出努力。,三,四,五,六,B
12,22051,单选题,4,国际刑警组织第八十六届全体会议在（）召开,上海,北京,南京,天津,B
12,23332,单选题,4,2016年11月26日，国家习近平在秘鲁国会的演讲上提到这次是他第（）次以中国国家主席身份踏上拉丁美洲和加勒比这片广袤的土地。,二,三,四,五,B
12,25172,单选题,4,中共中央、国务院2月6日上午在人民大会堂举行2016年春节（&nbsp; ） 。党和国家领导人习近平、李克强、张德江、俞正声、刘云山、王岐山、张高丽等同首都各界人士2000多人欢聚一堂，辞旧迎新，共庆佳节。,大会,团拜会,聚会,相会,B
12,23837,单选题,4,为了实施设施联通行动，中国决定和非洲联盟启动编制（）,《中非基础设施合作规划》,《中非联通设施合作规划》,《中非设施合作规划》,《中非具体设施合作规划》,A
