courseId,id,subType,optionCount,subDescript,option0,option1,option2,option3,answer
257,49790,单选题,4,1936年6月，抗日联军第一、第二路军合编为第一路军，(   )任总司令。,王德泰,杨靖宇,赵尚志,马占山,B
257,76511,单选题,4,新发展理念中（）是第一动力。,开放,绿色,创新,共享,C
257,49873,单选题,4,毛泽东发表（   ）一文，用马克思主义的阶级分析方法，全面分析了中国社会各阶级，指出了谁是中国革命的敌人，谁是中国革命的朋友。,《中国社会各阶级的分析》,《湖南农民运动考察报告》,《论持久战》,《中国的红色政权为什么能够存在》,A
257,25811,单选题,4,《关于实行党政领导干部责的暂行规定》规定，引咎辞职、责令辞职、免职的党政领导干部，（）内不得重新担任与其原任职务相当的领导职务。,半年,一年,两年,三年,B
257,49874,单选题,4,1935年12月9日，在中国共产党领导下， （  ）首先爆发了大规模的学生抗日救亡爱国运动，这次运动史称一二九运动。,北平,上海,南京,广州,A
257,76465,单选题,4,党的各级代表大会的代表和委员会的选举采用无记名投票的方式。候选人名单要由党组织和选举人充分酝酿讨论。可以直接采用候选人数多于应选人数的（）选举办法进行正式选举。,直接,间接,差额,等额,C
257,76862,单选题,3,对党员的纪律处分，必须经过（ ）讨论决定，报党的基层委员会批准。,支部大会,支部委员会会议,总支部委员会会议,,A
257,24668,单选题,4,"习近平总书记在十八届中央
纪委三次全会上要求，党的各级纪律检查机关
要把维护党的（）放在首位。",组织纪律,政治纪律,作风,形象,B
257,49949,单选题,4,中央红军于（ ）开始长征。 1936年10月三大主力红军会师，长征胜利结束。,1934 年 9 月,1934 年 10 月,1934 年 11 月,1934 年 12 月,B
257,25887,单选题,4,预备党员违犯党纪，情节较轻，（）,应当取消其预备党员资格,给予警告处分,可以保留预备党员资格，党组织应当对其批,评教育或者延长预备期。,C
257,49783,单选题,4,(    )决议是中国共产党和红军建设的纲领性文献，解决了在农村进行战争的环境中如何将以农民为主要成分的革命军队建设成无产阶级领导的新型人民军队这个根本性问题。,古田会议,八七会议,党的六大,遵义会议,A
257,24699,单选题,4,"弘扬中华优秀传统文化，要
处理好继承和发展的关系，重点做好（）转化和创新性发展。",拓展性,建设性,创新性,创造性,D
257,49801,单选题,4,1941年，《新华日报》上刊出周恩来的亲笔题词，“千古奇冤，江南一叶，室操戈，相煎何急？！”此题词是为(   )而写 。,博山惨案,确山惨案,皖南事变,七七事变,C
257,77202,单选题,3,必须坚持易()为中心的发展思想,创新,科技,人民,,C
257,76895,单选题,3,以下关于巡视制度的说法中，正确的是（ ）。,党的中央和省、自治区、直辖市委员会实行巡视制度，在一届任期内，对所管理的地方、部门、企事业单位党组织实现派驻全覆盖,中央有关部委和国家机关部门党组（党委）根据工作需要，开展巡视工作,党的市（地、州、盟）和县（市、区、旗）委员会建立巡视制度,,B
257,77107,单选题,3,"()主 持中央书记处的工
作。",中央委员会总书记,中央政治局常委,中央书记处书记,,A
257,50010,单选题,4,党的十七大在谈到“实现全面建设小康社会奋斗目标的新要求”时，对政治发展提出的新要求是:“扩大社会主义民主，更好保障人民权益和社会（）。”,公平正义,安定有序,团结和谐,稳定繁荣,A
