question,options,right_answer
"1921年7月23日,举行中国共产党第一次全国代表大会的城市是()","['北京', '广州', '上海', '武汉']",['上海']
1956年9月召开的中共八大的指导思想是(),"['实现马克思主义同中国实际“第二次结合”', '正确处理人民内部矛盾', '一定要努力把积极因素全部调动起来,把我国建设成为一个强大的社会主义国家', '动员全党和全国人民“向科学进军”']","['一定要努力把积极因素全部调动起来,把我国建设成为一个强大的社会主义国家']"
第一次国共合作的政治基础是(),"['三民主义', '新三民主义', '新民主主义', '社会主义']",['新三民主义']
人民战争走向胜利的历史转折是().,"['粉碎重点进攻', '战略反攻', '三大战役', '渡江作战']",['战略反攻']
"五四运动很快发展成为全国性的爱国运动,这充分说明()","['上海工人觉悟高', '五四运动属于资产阶级民主革命', '五四运动具有反帝反封建的性质', '五四运动具有广泛的群众基础']",['五四运动具有广泛的群众基础']
"太平天国运动之所以是中国农民战争的最高峰,最主要是因为()","['其规模和延续时间均属空前', '建立了与清政府对立的政权', '制定了比较完整的革命纲领', '对封建王朝的打击空前沉重']",['制定了比较完整的革命纲领']
"20世纪初,宣传革命的论著主要有()①驳康有为论革命书②革命军③猛回头④警世钟","['①②③', '①③④', '①②④', '①②③④']",['①②③④']
"民权主义是孙中山提出的三民主义的核心,其基本内容是()","['实行社会革命', '打倒帝国主义', '核定地价', '推翻封建君主专制制度,建立资产阶级的民主共和国']","['推翻封建君主专制制度,建立资产阶级的民主共和国']"
造成太平天国与古代农民起义有新的不同特点的主要原因是(),"['领导阶级不同', '组成成分不同', '指挥思想不同', '所处时代不同']",['所处时代不同']
戊戌维新运动兴起的社会物质条件是(),"['列强瓜分中国,民族危机急剧激化', '西方科学技术知识的传播', '洋务运动的失败', '中国民族资本主义的初步发展']",['中国民族资本主义的初步发展']
规定将总理衙门改为外务部并“班列六部之前”的不平等条约是(),"['《辛丑条约》', '《马关条约》', '《北京条约》', '《南京条约》']",['《辛丑条约》']
毛泽东在中国共产党的()上提出了“两个务必”和警惕资产阶级“糖衣炮弹”袭击的思想.,"['七大', '七届二中全会', '八大', '六届三中全会']",['七届二中全会']
鸦片战争后首先被外国侵略者控制的是(),"['中国外交', '中国内政', '中国海关', '中国税收']",['中国海关']
《驳康有为论革命书》是()的著作,"['邹容', '陈独秀', '陈天华', '章炳麟']",['章炳麟']
洋务运动的内容包括()①兴办近代军事企业②建立新式海陆军③创办新式学堂④派遣留学生,"['①②④', '①②③', '①②', '①②③④']",['①②③④']
近代中国落后、贫困的根本原因是()①封建势力对人民的压迫②资本-帝国主义势力对中国的侵略③自给自足的自然经济对生产力发展的阻碍④外国资本主义对我国的经济冲击⑤中国本身的落后,"['①②', '①②③④⑤', '①②③⑤', '①②③⑤']",['①②']
"早在1895年《马关条约》签订后,日本就开始了对台湾的殖民统治,时间长达()","['60年', '40年', '50年', '55年']",['50年']
袁世凯建立的北洋军阀政权代表的是(),"['大地主和买办资产阶级的利益', '大资产阶级利益', '民族资本家和中小资产阶级的利益', '无产阶级和广大人民的利益']",['大地主和买办资产阶级的利益']
"1938年,毛泽东发表的系统阐述抗日战争特点、前途和发展规律的著作是()","['《论反对日本帝国主义的策略》', '《论持久战》', '《论新阶段》', '《论联合政府》']",['《论持久战》']
民国初年两次帝制复辟失败的共同原因是(),"['资产阶级力量强大', '孙中山高举反复辟旗帜', '北洋军阀内部矛盾激化', '经过辛亥革命民主共和的观念深入人心']",['经过辛亥革命民主共和的观念深入人心']
我国的科举制度正式废除于(),"['1904年', '1905年', '1906年', '1908年']",['1905年']
洋务派在中央的代表是(),"['左宗棠', '曾国藩', '奕訢', '张之洞']",['奕訢']
"毛泽东指出“以后要非常注意军事,须知政权是由枪杆子中取得的”是在()","['八七会议', '中共六大', '中共五大', '古田会议']",['八七会议']
"对党的若干重大的历史问题作出结论,使全党尤其是党的高级干部对中国民主革命的基本问题的认识达到在马克思列宁主义基础上的一致的文献是()","['《改造我们的学习》', '《中国革命和中国共产党》', '《新民主主义论》', '《关于若干历史问题的决议》']",['《关于若干历史问题的决议》']
将中国领土台湾割让给日本的不平等条约是(),"['《南京条约》', '《北京条约》', '《马关条约》', '《瑗珲条约》']",['《马关条约》']
英国强迫清政府割让香港的条约是：(),"['1842年《南京条约》', '1860年《北京条约》', '1858年《爱珲条约》', '1895年《马关条约》']",['1842年《南京条约》']
"19世纪末,在帝国主义列强瓜分中国的狂潮中提出“门户开放”政策的国家是()","['俄国', '日本', '美国', '德国']",['美国']
辛亥革命的历史局限性主要是()①没有提出彻底反帝反封建的革命纲领②没有坚强的革命军队③没有充分发动和依靠民众④没有建立坚强的革命政党及其领导核心,"['①②', '①②③', '①③④', '①②③④']",['①②③④']
"在近代中国,实现国家富强和人民富裕的前提是()","['进行实业救国', '实行资本主义', '争得民族独立和人民解放', '进行西方式的工业革命']",['争得民族独立和人民解放']
"2005年3月14日,十届全国人大三次会议通过立法形式高票通过了","['《香港特别行政区基本法》', '《澳门特别行政区基本法》', '《反分裂国家法》', '《维护国家统一法》']",['《反分裂国家法》']
"1962年1月,中共中央召开总结经验教训、明确工作方向的会议是()","['“七千人大会”', '中共八届九中全会', '第一次郑州会议', '中共八届十中全会']",['“七千人大会”']
中国恢复了在联合国的合法席位是在(),"['1971年', '1972年', '1949年', '1956年']",['1971年']
"1898年6月16日,康有为上书光绪帝说：“皇上勿去旧衙门,而惟增新衙门；勿黜革旧大臣,而渐擢小臣.多招见才俊之士,不必加其官而委以差事,赏以卿衔,准其专折奏事足矣.”这段话最能反映出维新派在变法中的态度是()","['要光绪皇帝加强对顽固官僚的争夺', '要光绪皇帝在变法中讲究斗争策略', '在封建顽固势力面前主张妥协', '要使更多的维新派人士参与政权']",['要使更多的维新派人士参与政权']
"19世纪末20世纪初,帝国主义在中国掀起瓜分中国的狂潮,其中广西成了()的势力范围.","['英国', '俄国', '法国', '德国']",['法国']
"西方列强对中国的侵略,首先和主要的是()","['政治控制', '军事侵略', '经济掠夺', '文化渗透']",['军事侵略']
1947年10月发布的《中国人民解放军总部宣言》正式提出的行动口号是().,"['向北发展、向南防御', '和平、民主、团结', '打过长江去、解放全中国', '打倒蒋介石、解放全中国']",['打倒蒋介石、解放全中国']
"辛亥革命前夕爆发的保路运动中,斗争尤为激烈的省份是()","['广东', '湖北', '湖南', '四川']",['四川']
近代中国反侵略战争失败的根本原因是(),"['经济技术的落后', '社会制度的腐朽', '外国势力的强大', '人民抵抗不力']",['社会制度的腐朽']
近代中国历史上第一个全国性的资产阶级革命政党是(),"['兴中会', '中国同盟会', '中华革命党', '中国国民党']",['中国同盟会']
