question,options,right_answer
报纸.广播.电视等新闻媒体是党和.政府及人民的,"['喉舌', '工具', '中介', '事业']",['喉舌']
中国和平发展的道路是一条勇于参与经济全球化而又坚持,"['广泛合作互利共赢的发展道路', '独立自主的发展道路', '互不侵犯的发展道路', '平等合作的发展道路']",['平等合作的发展道路']
社会主义国家发展对外经济关系的主要内容和基础是,"['利用外资', '引进技术', '开办经济特区', '发展对外贸易']",['发展对外贸易']
"社会主义初级阶段历史任务的核心内容,是实现","['工业化和经济的社会化、市场化、现代化', '科技教育文化比较发达', '全体人民生活比较富裕', '地区经济文化平衡发展']",['工业化和经济的社会化、市场化、现代化']
“东南西北”问题的核心是,"['东西问题', '西北问题', '东南问题', '南北问题']",['南北问题']
把教育放在优先发展地位的依据是①.教育是实现我国现代化的关键所在②.教育与人才是增强我国综合国力和国际竞争力的决定性因素③.教育与人才培养是实现人的全面发展目标的根本途径,"['①③', '②③', '①②③', '①②']",['①②③']
中国新民主主义革命的开端是五四运动的发生.,"['对', '错']",['对']
人民代表大会制度、政治协商制度等我国具体民主政治制度的实质是,"['权力机关', '行政机关', '咨询机关', '社会主义民主']",['社会主义民主']
毛泽东回答“红旗到底打得多久”疑问的的文章是,"['《中国的红色政权为什么能够存在？》', '《井冈山的斗争》', '《星星之火,可以燎原》', '《反对本本主义》']","['《星星之火,可以燎原》']"
毛泽东第一次使用“思想路线”这一概念是在,"['第一次国内革命战争期间', '第二次国内革命战争期间', '抗日战争期间', '第三次国内革命战争期间']",['第二次国内革命战争期间']
新民主主义革命理论的核心问题是(),"['无产阶级的领导权', '农民问题', '军事问题', '土地问题']",['无产阶级的领导权']
"2001年12月,我国正式成为一个重要国际组织的成员国.这个国际组织是","['世界卫生组织', '国际奥委会', '世界贸易组织', '国际货币基金组织']",['世界贸易组织']
社会主义基本制度在我国初步确立的时间是,"['1956年', '1949年', '1978年', '1921年']",['1956年']
我国基层民主自治的最大特点,"['人民依法直接行使民主权', '直选基层组织领导人', '与基层党组织相分离', '与基层党组织没有领导与被领导的关系']",['人民依法直接行使民主权']
"中国共产党人以自己的无私奉献精神为中华民族的复兴前赴后继、浴血奋战、不屈不挠、艰苦奋斗,中国共产党90年的历史是一部团结带领全国各族人民进行革命、建设和改革并不断取得辉煌成就的历史.中国共产党能够取得辉煌成就,根本原因在于()(1)中国共产党是中国工人阶级先锋队,同时是中国人民和中华民族的先锋队(2)中国共产党坚持在组织上对各民主党派的领导(3)不断加强党的自身建设,努力保持和发展自己的先进性(4)中国共产党增强科学执政、民主执政、依法执政的自觉性和坚定性","['(1)(2)', '(1)(3)', '(2)(4)', '(3)(4)']",['(1)(3)']
构建社会主义和谐社会的实践意义是(),"['是全面建设小康社会的重要目标', '是应对外部挑战的重要条件', '是中国最广大人民的根本利益所在', '以上都是']",['以上都是']
意识在形成过程中所经历的阶段不包括().,"['低等生物的刺激感应性', '一切物质都具有的反应特性', '高等动物的感觉和心理', '低等动物的应激反应']",['低等动物的应激反应']
我国对个体农业进行社会主义改造所采取的形式有：①互助组；②初级社；③高级社；④人民公社；⑤和平赎买,"['①②③④⑤', '①②③④', '①②③', '②③④']",['①②③④']
"对“实事求是”首先作了马克思主义的解释,并把它确立为中国共产党的思想路线的是","['毛泽东', '周恩来', '邓小平', '江泽民']",['毛泽东']
邓小平在()作出对“三个有利于”标准的重要表述,"['党的十二大', '党的十三大', '党的十四大', '1992年南方讲话']",['1992年南方讲话']
邓小平第一次提出“建设有中国特色的社会主义”的概念是在,"['十一届三中全会上', '十二大上', '十三大前夕', '十四大前夕']",['十二大上']
"民族精神是社会主义核心价值体系的重要内容之一,其核心是","['爱国主义', '团结统一', '勤劳勇敢', '自强不息']",['爱国主义']
社会主义的根本任务是,"['解放和发展生产力', '消灭剥削、消除两极分化', '达到共同富裕目标', '实现社会和谐']",['解放和发展生产力']
"1971年10月,恢复中华人民共和国在联合国的合法席位,驱逐台湾当局的非法代表是","['第24届联合国大会', '第25届联合国大会', '第26届联合国大会', '第27届联合国大会']",['第26届联合国大会']
"科学的本质是创新,创新的关键在","['教育', '人才', '发展', '技术革命']",['人才']
当前威胁世界和平稳定的主要因素是,"['军备竞赛', '霸权主义和强权政治', '恐怖主义', '民族宗教矛盾']",['霸权主义和强权政治']
中国资产阶级包括官僚资产阶级、民族资产阶级和城市小资产阶级.,"['对', '错']",['错']
没收官僚资本归(),"['国家所有', '农民所有', '资本家所有', '工人所有']",['国家所有']
马克思主义执政党的最大危险就是(),"['放松思想工作', '脱离群众', '忽视民主', '组织涣散']",['脱离群众']
我国对资本主义工商业的社会主义改造所采取的政策是,"['加工订货', '统购统销', '和平赎买', '公私合营']",['和平赎买']
"我国对资本主义工商业的改造采取国家资本主义的过渡形式,属于高级形式的国家资本主义的是","['委托加工', '计划订货', '统购包销', '公私合营']",['公私合营']
"毛泽东对实事求是的科学含义作出马克思主义界定,并把能否坚持实事求是提到有没有党性或党性纯不纯的高度,是在","['第一次国内革命战争期间', '第二次国内革命战争期间', '抗日战争期间', '第三次国内革命战争期间']",['抗日战争期间']
我国宗教政策是,"['公民信仰自由', '逐步取缔宗教', '公民有不信仰宗教的自由', '宗教信仰者不是社会主义事业建设者']",['公民信仰自由']
在党的十三大政治报告中对社会主义初级阶段和党的基本路线进行系统阐述的是,"['赵紫阳', '邓小平', '胡耀邦', '江泽民']",['赵紫阳']
"十六大报告指出,“必须尊重劳动、尊重知识、尊重人才、尊重创造,这要作为党和国家的一项重大方针在全社会认真贯彻.”在“四个尊重”中,核心是尊重","['劳动', '知识', '人才', '创造']",['劳动']
"我国农业社会主义改造中,农业合作化的最初过渡形式是","['互助组', '初级社', '高级社', '人民公社']",['互助组']
霸权主义和强权政治的最根本的社会根源是,"['强权政治', '垄断资本主义的经济政治制度', '霸权主义', '经济危机']",['垄断资本主义的经济政治制度']
