courseId,id,subType,optionCount,subDescript,option0,option1,option2,option3,answer
10,3641,单选题,4,抗日饿争胜利后取代日本在中国享有种种特权的国家是（　　）,英国,法国,美国,德国,C
10,6328,单选题,4,由于北伐战争胜利进军的推动，中国人民在反帝斗争中于 1927年收回了（）。①广州法租界 ②上海法租界 ③汉口英租界 ④九江英租界,①②③,②③④,③④,②③,C
10,9230,单选题,4,中国共产党历史上有“南陈北李，相约建党”的说法，其中“陈”、“李”分别指（）,陈独秀 李达,陈独秀 李大钊,陈潭秋 李大钊,陈潭秋 李达,B
10,3486,单选题,4,为反对袁世凯刺杀宋教仁和“善后大借款”，孙中山在1913年领导革命党人发动了（　　）,二次革命,护国战争,护法战争,北伐战争,A
10,5896,单选题,4,太平天国后期担任军事指挥的青年将领（）,杨秀清、石达开,萧朝贵、冯云山,陈玉成、李秀成,石达开、韦昌辉,C
10,9463,单选题,4,井冈山革命根据地的创建，最主要的意义是（  ）,开展游击战争的尝试,揭开了中国革命从城市转入农村的序幕,创建人民军队的开始,点燃了“工农武装割据”的星星之火,B
10,6049,单选题,4,南京临时政府的局限性表现为（） ①承认清政府与列强所订的一切不平等条约和一切外债有效 ②没有提出任何可以满足农民土地要求的政策和措施 ③维护封建土地制度以及官僚、地主所占有的土地财产 ④主体是资产阶级革命派,①②③⑤,①②④,①②③,②③④⑤,C
10,5693,单选题,4,1885年3月，（）期间，法军进攻中越边境镇南关，老将冯子材身先士卒，率部勇猛冲杀，取得镇南关大捷。,第一次鸦片战争,第二次鸦片战争,中法战争,甲午战争,C
10,3552,单选题,4,中国人民抗日战争进入全民族抗战的新阶段是在（ ）,九一八事变爆发后,一·二八事变爆发后,华北事变爆发后,卢沟桥事变爆发后,D
10,6649,单选题,4,中国共产党领导的南方八省游击队改编后，任新四军正副军长的是（）,朱德、彭德怀,林彪、聂荣臻,叶挺、项英,方志敏、刘志丹,C
10,6065,单选题,4,孙中山领导辛亥革命的指导思想是（）,民族主义、民权主义、民生主义,驱除鞑虏、恢复中华,建立民国、平均地权,联俄，联共，扶助农工,A
10,9193,单选题,4,太平天国之所以是中国农民战争的最高峰，最主要是因为 (  ),其规模和延续时间均属空前,建立了与清政府对立的政权,制定了比较完整的革命纲领,对封建王朝的打击空前沉重,C
10,5830,单选题,4,资本一帝国主义列强对中国的侵略，首先和主要的是进行（）,经济侵略,文化侵略,军事侵略,宗教渗透,C
10,6193,单选题,4,北伐战争迅速发展的最主要原因是（）,工农群众的大力支持,北伐将士的英勇善战,直奉联合战线的瓦解,国共两党团结合作和正确的北伐方针,D
10,6437,单选题,4,以下关于中央红军长征的表述，正确的有（）。①红军被迫实施的一次战略转移②突破四道封锁线后人员损失过半③在陕北吴起镇同红十五军团会师④历时1年，穿越11个省,①②③,①②④,①③④,①②③④,D
10,6134,单选题,4,1949年新中国成立以前，工人阶级和其他进步势力的方案是要建立一个（）的国家。,工人阶级专政,资产阶级共和国,人民民主专政,社会主义,C
10,5834,单选题,4,下列关于《天朝天亩制度》和《资政新篇》的叙述，不正确的是（）,都是巩固太平天国的纲领或方案,后者是前者的补充、继承和发展,前者是违背社会发展规律的空想,后者是符合时代潮流的进步方案,B
