question,options,right_answer
下列选项中有关少数民族的制度为().,"['基层群众自治制度', '人民代表大会制度', '民族区域自治制度', '多党合作和政治协商制度']",['民族区域自治制度']
下列少数民族自治区中()是我国成立最早的民族自治区.,"['内蒙古自治区', '西藏自治区', '新疆维吾尔自治区', '广西壮族自治区']",['内蒙古自治区']
"中华民族作为一个自觉的民族实体,是在近百年来中国和西方列强对抗中出现的,但作为一个自在的民族实体,则是几千年的历史过程所形成的.","['正确', '错误']",['正确']
"习近平总书记强调,要坚持依法治藏、富民兴藏、长期建藏、凝聚人心、夯实基础的方针,推动西藏经济社会发展和长治久安.以下哪项不属于依法治藏的措施.","['加强法制宣传教育', '完善法律法规体系', '严格执法司法公正', '忽视民族习惯和宗教信仰自由']",['忽视民族习惯和宗教信仰自由']
"随着越来越多的各民族同胞在全国各地流动,民族工作要().","['从边疆发展到内地', '从农村延伸到城市', '从发展经济、改善民生扩大到保障各民族公民合法权益', '实现区域公共服务均等化']","['从边疆发展到内地', '从农村延伸到城市', '从发展经济、改善民生扩大到保障各民族公民合法权益', '实现区域公共服务均等化']"
"铸牢中华民族共同体意识、推进新时代党的民族工作高质量发展,是中国共产党的任务.","['正确', '错误']",['错误']
铸牢中华民族共同体意识的重大意义主要体现是什么？,"['维护各民族根本利益的必然要求', '实现中华民族伟大复兴的必然要求', '巩固和发展平等团结互助和谐的社会主义民族关系的必然要求', '党的民族工作开创新局面的必然要求', '以上都是']",['以上都是']
从中华优秀传统文化中汲取精神动力、()、在坚持和发展中国特色社会主义中铸牢中华民族共同体意识是铸牢中华民族共同体意识的三重向度.,"['以马克思主义原理为指导', '以中国化时代化的马克思主义为科学理论指导', '以列宁主义为指导', '以马克思列宁主义为指导']",['以中国化时代化的马克思主义为科学理论指导']
"物质文明和精神文明相协调的现代化,是中华民族共同体建设的().","['鲜明特色和灵感源泉', '鲜明特色和重要保障', '重要保障和灵感源泉', '重要保障和强劲动能']",['鲜明特色和重要保障']
"实现中华民族伟大复兴的中国梦,需要进一步增进各族群众对()、()、()、()、中国特色社会主义的认同.","['伟大祖国', '中华民族', '中华文化', '中国共产党']","['伟大祖国', '中华民族', '中华文化', '中国共产党']"
"以下选项中,能够作为新时期我国民族工作的主题是？()","['各民族共同团结奋斗,共同繁荣发展', '民族团结一家亲,同心共筑中国梦', '共建民族团结路,携手戮力同心行', '坚持民族团结,维护祖国统一']","['各民族共同团结奋斗,共同繁荣发展', '民族团结一家亲,同心共筑中国梦', '共建民族团结路,携手戮力同心行']"
建设中华民族共有精神家园是铸牢中华民族共同体意识的文化基础.,"['正确', '错误']",['正确']
重视利用独特地理风貌和文化特点体现民族团结的举措之一是规划建设一批具有民族风情的特色村镇.,"['正确', '错误']",['正确']
铸牢中华民族共同体意识的“四个必然要求”是(),"['维护各民族根本利益的必然要求', '实现中华民族伟大复兴的必然要求', '巩固和发展平等团结互助和谐社会主义民族关系的必然要求', '党的民族工作开创新局面的必然要求']","['维护各民族根本利益的必然要求', '实现中华民族伟大复兴的必然要求', '巩固和发展平等团结互助和谐社会主义民族关系的必然要求', '党的民族工作开创新局面的必然要求']"
"中华民族大团结是以中国式现代化全面推进中华民族伟大复兴的(),强国建设、民族复兴的进程,必然是各民族广泛交往交流交融的过程,必然是各民族共同团结奋斗、共同繁荣发展的过程.","['前提和基础', '前提和根本', '本质和基础', '本质和前提']",['前提和基础']
"习近平同志在党的十八大报告中强调,“铸牢中华民族共同体意识”.铸牢中华民族共同体意识,是马克思主义民族理论中国化的重大理论创新成果,是习近平同志关于民族工作重要论述的重大观点,是新时代开展民族工作的重要遵循.","['正确', '错误']",['错误']
铸牢中华民族共同体意识是建设具有强大凝聚力和引领力的社会主义意识形态的应有之义.,"['正确', '错误']",['正确']
"以下选项中,我国少数民族最多的省份是？()","['云南', '新疆', '贵州', '广西']",['云南']
中央民族工作会议召开了()次？,"['3', '4', '5', '6']",['5']
"以下选项中,特别讲究药膳的少数民族是？()","['羌族', '白族', '苗族', '黎族']",['羌族']
2021年中央民族工作会议的最大成果是什么？,"['总结提出了习近平总书记关于加强和改进民族工作的重要思想.', '提出了民族区域自治方针', '提出西部大开发战略', '指出我国少数民族分布特点']",['总结提出了习近平总书记关于加强和改进民族工作的重要思想.']
"党的()大以来,习近平总书记鲜明提出把()作为新时代党的民族工作的主线、作为民族地区各项工作的主线.","['铸牢中国人民共同体意识', '二十', '十八', '铸牢中华民族共同体意识']","['十八', '铸牢中华民族共同体意识']"
赛乃姆是维吾尔族的传统舞蹈.(),"['正确', '错误']",['正确']
"习近平总书记强调：“加强中华民族大团结,长远和根本的是增强(),建设各民族共有精神家园,积极培养中华民族共同体意识.","['文化认同', '文化多样性', '经济实力', '经济发展']",['文化认同']
"每一次中央民族工作会议,都从战略和全局高度对民族工作作出重要部署,在我国民族工作历史上都是重要的里程碑.","['正确', '错误']",['正确']
"我们要大力促进各民族共同团结奋斗,为强国建设、民族复兴凝聚磅礴力量；要全面实现各民族共同繁荣发展,让各族人民共享强国建设、民族复兴的伟大荣光.","['正确', '错误']",['正确']
()是我国各族人民的生命线.,"['经济基础', '文化统一', '民族团结', '党的领导']",['民族团结']
"习近平总书记强调,要加强党对民族工作的领导,这是做好新时代民族工作的根本保证.以下哪个选项符合这一观点.","['完善民族工作法律法规体系,确保各项工作有法可依、有章可循', '建立健全民族工作协调机制,形成全社会共同参与的良好格局', '加强宣传教育,引导各族群众牢固树立休戚与共、荣辱与共理念', '打造高素质专业化民族工作干部队伍,提供有力的人才保障']","['建立健全民族工作协调机制,形成全社会共同参与的良好格局']"
"党的十八大以来,以习近平同志为核心的党中央团结带领全国各族人民,坚持把马克思主义基本原理同()相结合、同中华优秀传统文化相结合,凝聚奋斗与思考、承继光荣与梦想,激活了中华文明的强大生命力,党和国家事业取得历史性成就、发生历史性变革.","['世界格局', '历史背景', '中国古代史', '中国具体实际']",['中国具体实际']
"2022年7月12日至15日,习近平在新疆考察时提到：“我们创造性地把马克思主义民族理论同中国民族问题具体实际相结合,确立了以民族平等、民族团结、民族区域自治、各民族共同繁荣发展为主要内容的民族理论和民族政策,各民族在社会主义制度下实现了真正意义上的平等团结进步”.","['正确', '错误']",['正确']
"只有部分民族是国家的主人,依法平等享有权利履行义务.","['正确', '错误']",['错误']
